dataset,property,exp_dir_name,best_epoch,number,value,state,batch_size,lr,weight_decay,depth,h1,h2,h3,h4,activation,norm,dropout
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-512-64_actsilu_nmnone_dp0.0375622_bs320_lr0.000188703_wd0.0003_dep3_h11280_h2512_h364_h4192,41,17,0.0123436944559216,COMPLETE,320,0.00018870347887741737,0.0003,3,1280,512,64,192,silu,none,0.03756218313707688
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-768-128_actsilu_nmln_dp0.11249_bs160_lr0.000118979_wd3e-5_dep3_h11024_h2768_h3128_h4256,64,18,0.0131322080269455,COMPLETE,160,0.00011897865826188864,3e-05,3,1024,768,128,256,silu,lay_norm,0.1124903921861506
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-640-256_actsilu_nmnone_dp0.112952_bs352_lr5.4544e-5_wd1e-6_dep3_h11024_h2640_h3256_h4224,70,19,0.01185336522758,COMPLETE,352,5.4544032387628954e-05,1e-06,3,1024,640,256,224,silu,none,0.11295220686382572
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-640_actsilu_nmnone_dp0.0611575_bs512_lr0.000805272_wd0.0005_dep2_h11024_h2640_h364_h4256,23,20,0.0179632194340229,COMPLETE,512,0.0008052715311259807,0.0005,2,1024,640,64,256,silu,none,0.061157488785532454
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-512_actsilu_nmnone_dp0.11672_bs320_lr5.16692e-5_wd1e-6_dep2_h11024_h2512_h3320_h4192,127,21,0.0129262264817953,COMPLETE,320,5.166919088697145e-05,1e-06,2,1024,512,320,192,silu,none,0.1167198203327976
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-768-256_actsilu_nmnone_dp0.185918_bs320_lr5.27689e-5_wd0.0003_dep3_h11024_h2768_h3256_h4224,97,22,0.0106406146660447,COMPLETE,320,5.2768922641947374e-05,0.0003,3,1024,768,256,224,silu,none,0.18591801371930844
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-640_actsilu_nmnone_dp0.138006_bs256_lr0.000611263_wd0.0003_dep2_h11024_h2640_h3256_h4256,44,23,0.0180433746427297,COMPLETE,256,0.0006112625215259377,0.0003,2,1024,640,256,256,silu,none,0.13800644097380127
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-768-128_actsilu_nmnone_dp0.197972_bs288_lr8.43415e-5_wd0.0003_dep3_h11024_h2768_h3128_h4256,119,24,0.0100481258705258,COMPLETE,288,8.434152188927025e-05,0.0003,3,1024,768,128,256,silu,none,0.19797185799810826
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1024-896-256_actsilu_nmnone_dp0.151776_bs224_lr5.67165e-5_wd0.0003_dep3_h11024_h2896_h3256_h4160,97,25,0.0101874377578496,COMPLETE,224,5.6716481038900645e-05,0.0003,3,1024,896,256,160,silu,none,0.15177647434523225
ZINC_SMILES_HRR_2048_F64_5G1NG4,max_ring_size,pr_max_ring_size_ZincSmilesHRR2048F645G1NG4_h1280-1024-384_actsilu_nmnone_dp0.125068_bs224_lr5.18264e-5_wd0.0003_dep3_h11280_h21024_h3384_h4224,90,26,0.0101255374029278,COMPLETE,224,5.1826360157625736e-05,0.0003,3,1280,1024,384,224,silu,none,0.12506815124375922
