dataset,number,obj1_zero_correction_error,state,batch_size,lr,weight_decay,num_flows,hidden_dim,num_hidden_layers,cl_edge_added/removed,cl_edge_added/removed_of_the_level_two_results,cl_edge_added/removed_then_re-decoded,cl_failed_to_correct,cl_not_corrected,decode_time_per_sample_sec,decode_time_sec,exp_dir_name,incorrect_pct,min_val_loss,n_decoded,norm_per,obj0_nll,zero_correction_pct,training_time
ZincSmilesHRR256F645G1NG4,48,98.8,COMPLETE,192,0.0005260538926168,0.0006093348241979,8,1536,2,0.0,0.0,0.0,988.0,12.0,0.0254039275646209,25.40392756462097,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000526054_wd0.000609335_bs192_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,98.8,-1120.0013427734375,1000.0,term,-1120.0013427734375,1.2,
ZincSmilesHRR256F645G1NG4,49,98.0,COMPLETE,192,0.0005319539168405,0.000587483887122,8,1280,2,0.0,0.0,0.0,980.0,20.0,0.0174280092716217,17.428009271621704,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000531954_wd0.000587484_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,98.0,-1131.456298828125,1000.0,term,-1131.456298828125,2.0,
ZincSmilesHRR256F645G1NG4,50,98.7,COMPLETE,192,0.000534045369675,0.0006103157580583,8,1280,2,0.0,0.0,0.0,987.0,13.0,0.0176924209594726,17.692420959472656,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000534045_wd0.000610316_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,98.7,-1041.175048828125,1000.0,term,-1041.175048828125,1.3,
ZincSmilesHRR256F645G1NG4,51,98.6,COMPLETE,192,0.0005265879453428,0.0005697742828073,8,1280,2,0.0,0.0,0.0,986.0,14.0,0.0255372822284698,25.53728222846985,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000526588_wd0.000569774_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,98.6,-1126.4930419921875,1000.0,term,-1126.4930419921875,1.4,
ZincSmilesHRR256F645G1NG4,52,98.8,COMPLETE,192,0.0005276045330998,0.0005714491347653,8,1280,2,0.0,0.0,0.0,988.0,12.0,0.0258729221820831,25.87292218208313,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000527605_wd0.000571449_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,98.8,-1072.17529296875,1000.0,term,-1072.17529296875,1.2,
ZincSmilesHRR256F645G1NG4,53,98.2,COMPLETE,192,0.0005348941788612,0.0005601607658631,8,1280,2,0.0,0.0,0.0,982.0,18.0,0.0173102543354034,17.310254335403442,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000534894_wd0.000560161_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,98.2,-1112.5474853515625,1000.0,term,-1112.5474853515625,1.8,
ZincSmilesHRR256F645G1NG4,54,99.7,COMPLETE,192,0.0005237342877271,0.0005208045671107,8,1280,2,0.0,0.0,0.0,997.0,3.0,0.0136462421417236,13.646242141723633,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000523734_wd0.000520805_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,99.7,-671.7626342773438,1000.0,term,-671.7626342773438,0.3,
ZincSmilesHRR256F645G1NG4,55,98.1,COMPLETE,192,0.0005452526394307,0.0007628167091717,8,1536,2,0.0,0.0,0.0,981.0,19.0,0.0172581613063812,17.258161306381226,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000545253_wd0.000762817_bs192_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,98.1,-1196.9927978515625,1000.0,term,-1196.9927978515625,1.9,
ZincSmilesHRR256F645G1NG4,56,97.3,COMPLETE,192,0.0005426598142885,0.0007169220795704,8,1536,2,0.0,0.0,0.0,973.0,27.0,0.0261159715652465,26.115971565246586,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.00054266_wd0.000716922_bs192_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,97.3,-1200.78564453125,1000.0,term,-1200.78564453125,2.7,
ZincSmilesHRR256F645G1NG4,57,98.4,COMPLETE,192,0.0005436907781017,0.000714300876483,8,1536,2,0.0,0.0,0.0,984.0,16.0,0.0172657256126403,17.26572561264038,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000543691_wd0.000714301_bs192_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,98.4,-1199.1741943359375,1000.0,term,-1199.1741943359375,1.6,
ZincSmilesHRR256F645G1NG4,58,98.6,COMPLETE,192,0.0005406398055856,0.0006618005015654,8,1536,2,0.0,0.0,0.0,986.0,14.0,0.0246179296970367,24.617929697036743,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.00054064_wd0.000661801_bs192_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,98.6,-1170.293701171875,1000.0,term,-1170.293701171875,1.4,
ZincSmilesHRR256F645G1NG4,59,98.4,COMPLETE,192,0.000537843963586,0.0006136219324665,8,1280,2,0.0,0.0,0.0,984.0,16.0,0.0172105751037597,17.210575103759766,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000537844_wd0.000613622_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,98.4,-1121.3995361328125,1000.0,term,-1121.3995361328125,1.6,
ZincSmilesHRR256F645G1NG4,60,99.7,COMPLETE,192,0.000521968759839,0.0006425037499576,8,1792,2,0.0,0.0,0.0,997.0,3.0,0.0146004846096038,14.600484609603882,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000521969_wd0.000642504_bs192_hid1792_nhl2_np1_smf7_smi2.5_smw17_an,99.7,-755.2293701171875,1000.0,term,-755.2293701171875,0.3,
ZincSmilesHRR256F645G1NG4,61,98.5,COMPLETE,480,0.0002771592123613687,0.0001098699171307883,11,1024,2,0.0,0.0,0.0,985.0,15.0,0.026856629848480223,26.856629848480225,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f11_lr0.000277159_wd0.00010987_bs480_hid1024_nhl2_np1_smf7_smi2.5_smw17_an,98.5,-1085.9007568359375,1000.0,term,,1.5,144.0
ZincSmilesHRR256F645G1NG4,62,99.8,COMPLETE,448,0.0004430327560844594,3.74250887424787e-05,6,768,2,0.0,0.0,0.0,998.0,2.0,0.025985696554183958,25.98569655418396,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f6_lr0.000443033_wd3.74251e-5_bs448_hid768_nhl2_np1_smf7_smi2.5_smw17_an,99.8,-1069.057373046875,1000.0,term,,0.2,137.0
